imagename	description	control
P1_tonsil_start_L_20190508-roi_1	tonsil	tonsil
P1_tonsil_start_R_20190508-roi_1	tonsil	tonsil
P2_TMA002_L_20190619-roi_1	tonsil	tonsil
P2_TMA002_R_20190619-roi_1	tonsil	tonsil
P2_TMA003_L_20190806-roi_1	tonsil	tonsil
P2_TMA003_R_20190619-roi_1	tonsil	tonsil
P2_TMA004_L_20190619-roi_1	tonsil	tonsil
P2_TMA004_R_20190619-roi_1	tonsil	tonsil
P2_TMA005_L_20190619-roi_1	tonsil	tonsil
P2_TMA005_R_20190619-roi_1	tonsil	tonsil
P2_TMA006_20190619_L-roi_1	tonsil	tonsil
P2_TMA006_R_20190619-roi_1	tonsil	tonsil
P2_TMA007_L_20190619-roi_1	tonsil	tonsil
P2_TMA007_R_20190619-roi_1	tonsil	tonsil
P2_tonsil_end_L_20190508-roi_1	tonsil	tonsil
P2_tonsil_end_R_20190508-roi_1	tonsil	tonsil
P2_tonsil_start_20190508-roi_1	tonsil	tonsil
P2_tonsil_start_L_20190508-roi_1	tonsil	tonsil
P1_TMA003_R_20190619-roi_11	tonsil	tonsil
P1_TMA007_L_20190619-roi_15	tonsil	tonsil
P2_TMA003_L_20190806-roi_15	tonsil	tonsil
P2_TMA007_L_20190619-roi_15	tonsil	tonsil
P2_TMA007_L_20190619-roi_15	tonsil	review
P2_TMA002_R_20190619-roi_16	tonsil	tonsil
P1_TMA002_R_20190619-roi_17	tonsil	tonsil
P1_TMA004_R_20190619-roi_17	tonsil	tonsil
P1_TMA004_L_20190619-roi_1	tonsil	tonsil
P1_TMA003_L_20190619_correct-roi_18	tonsil	tonsil
P2_TMA002_L_20190619-roi_19	tonsil	tonsil
P2_tonsil_end_20190508-roi_2	tonsil	review
P1_TMA002_L_20190619-roi_20	tonsil	tonsil
P1_TMA002_L_20190619-roi_20	tonsil	review
P1_TMA006_R_20190619-roi_20	tonsil	tonsil
P2_TMA005_L_20190619-roi_20	tonsil	tonsil
P2_TMA004_R_20190619-roi_21	tonsil	tonsil
P2_TMA006_R_20190619-roi_21	tonsil	tonsil
P2_TMA004_R_20190619-roi_22	tonsil	tonsil
P2_TMA005_R_20190619-roi_22	tonsil	tonsil
P2_TMA006_20190619_L-roi_23	tonsil	tonsil
P2_TMA005_R_20190619-roi_24	tonsil	tonsil
P1_TMA007_20190619-roi_7	tonsil	tonsil
P2_TMA007_R_20190619-roi_7	tonsil	review
P2_TMA003_R_20190619-roi_9	tonsil	tonsil
P1_TMA006_L_20190619-roi_25	tonsil	tonsil
P2_TMA006_20190619_L-roi_25	tonsil	review
P1_TMA004_L_20190619-roi_26	tonsil	tonsil
P2_TMA006_20190619_L-roi_26	tonsil	tonsil
P2_TMA004_L_20190619-roi_27	tonsil	tonsil
P1_TMA005_R_20190619-roi_35	tonsil	review
P2_TMA004_20201217-roi_10	Adrenal - Metastasis	review
P2_TMA017_20201217-roi_5	lowPanCK	review
P2_TMA017_20201217-roi_2	lowPanCK	review
P2_TMA017_20201217-roi_3	lowPanCK	review
P2_TMA017_20201217-roi_4	lowPanCK	review
P2_TMA004_20201217-roi_7	Brain  - Metastasis	review
P2_TMA014_20201217-roi_5	Gastric - Metastasis	review
P2_TMA016_20201217-roi_2	Kidney - Metastasis	review
P2_TMA016_20201217-roi_4	Kidney - Metastasis	review
P2_TMA001_2020716-roi_15	Large Bowel  - Metastasis	review
P2_TX421_TMA001_20201217-roi_2	Liver  - Metastasis	review
P2_TMA016_20201217-roi_7	Lung - Primary	review
P2_TMA004_20201217-roi_4	Lymph Node  - Metastasis	review
P2_TMA016_20201217-roi_1	Peritoneum - Metastasis	review
P2_TMA015_20201217-roi_13	Peritoneum - Metastasis	review
P1_TMA001_20200716-roi_1	Small Bowel  - Metastasis	review
P1_TMA0001_20201217-roi_5	Small Bowel  - Metastasis	review
P2_TMA002_20201217-roi_10	Subcutaneous - Metastasis	review
P2_TMA015_20201217-roi_15	Subcutaneous - Metastasis	review
P2_TMA017_20201217-roi_5	LowPanCK	review
P2_tonsil_202009015_1_KE_HYPG-roi_1	tonsil	review
P2_TMA001_2020716-roi_5	misc	review
P2_TMA001_2020716-roi_9	misc	review
P2_TMA001_2020716-roi_15	misc	review
P2_Slide3_ASB_20200716_KE_HYPG-roi_1	misc	review
P2_A_LTX0125-3E_F20_20200915-roi_5	misc	review
P2_U_LTX0111-A1_F63_20200915-roi_1	misc	review
P1_TMA0001_20201217-roi_1	misc	review
P1_TMA001_20200716-roi_5	misc	review
P1_TMA0001_20200716-roi_6	misc	review
P1_TMA0001_20201217-roi_6	misc	review
P1_TMA001_20200716-roi_8	misc	review
P1_TMA0001_20201217-roi_8	misc	review
P1_TMA001_20200716-roi_10	misc	review
P1_TMA0001_20201217-roi_10	misc	review
P1_TMA001_20200716-roi_11	LiverMeta	review
P1_TMA0001_20201217-roi_11	LiverMeta	review
